trip_id,stop_id,stop_sequence,shape_dist_traveled
17404586,12040,9,1.606
17404586,11644,10,1.725
17404586,12042,11,1.896
17404586,12039,12,2.039
17404586,11643,13,2.155
17404586,11642,14,2.299
17404586,12032,15,2.4
17404586,12035,16,2.551
17404586,12036,17,2.709
17404586,12034,18,3.046
17404586,10474,19,3.238
17404586,10105,20,3.412
17404586,10108,21,3.517
17404586,10488,22,3.663
17404586,10116,23,3.773
17404586,10118,24,3.933
17404586,10503,25,4.118
17404586,10133,26,4.309
17404586,12076,27,4.48
17404586,10516,29,4.777
17404586,99345,30,4.884
17404586,10145,31,5.106
17404586,10535,32,5.256
17404586,10163,33,5.467
17404586,10177,34,5.714
17404586,10186,35,5.872
17404586,10568,36,6.129
17404586,10570,37,6.231
17404586,10206,38,6.459
17404586,10582,39,6.606
17404586,13460,40,6.761
17404586,10223,41,6.945
17404586,10603,42,7.1
17404586,10231,43,7.253
17404586,13013,44,7.432
17404586,10236,45,7.563
17404586,11737,46,7.727
17404586,10235,47,7.862
17404586,10629,48,8.099
17404586,12541,49,8.388
17404586,12542,50,8.537
17404586,12892,51,8.799
17404586,12893,52,9.13
17404586,70024,53,9.381
17286722,70009,1,0.0
17286722,10115,2,0.26
17286722,10499,3,0.455
17286722,10123,4,0.587
17286722,10127,5,0.676
17286722,10515,6,0.853
17286722,10137,7,0.929
17286722,10147,8,1.136
17286722,10164,9,1.43
17286722,10178,10,1.676
17286722,10187,11,1.835
17286722,91103,12,2.006
17286722,10563,13,2.225
17286722,10203,14,2.373
17286722,10207,15,2.497
17286722,10216,16,2.723
17286722,10598,17,2.955
17286722,10618,18,3.189
17286722,10232,19,3.368
17286722,10624,20,3.69
17286722,99371,21,3.867
17286722,12893,22,4.413
17286722,91037,23,4.679
17286722,12166,24,4.825
17286722,91043,25,4.939
17286722,10636,26,5.164
17286722,10641,27,5.307
17286722,10650,28,5.555
17286722,10653,29,5.695
17286722,13308,30,5.799
17286722,10658,31,5.914
17286722,10664,32,6.053
17286722,10669,33,6.211
17286722,10273,34,6.412
17286722,10276,35,6.505
17286722,10686,36,6.786
17286722,10286,37,6.912
17286722,10291,38,7.166
17286722,10292,39,7.274
17286722,10698,40,7.545
17286722,10704,41,7.863
17286722,10707,42,7.936
17286722,13021,43,8.066
17286722,10714,44,8.177
17286722,10312,45,8.375
17286722,13023,46,8.541
17286722,10319,47,8.75
17286722,12246,48,8.873
17286722,11809,49,9.188
17286722,11081,50,9.29
17286722,13468,51,9.448
17286722,11076,52,9.598
17286722,11071,53,9.728
17286722,11069,54,9.859
17286722,11800,55,10.049
17286722,12238,56,10.214
17286722,11801,57,10.34
17286722,12239,58,10.43
17286722,11803,59,10.598
17286722,12241,60,10.702
17286722,11465,61,10.94
17286721,12972,1,0.0
17286721,10720,2,0.269
17286721,12578,3,0.491
17286721,12971,4,0.61
17286721,12577,5,0.741
17286721,12970,6,0.917
17286721,10712,7,1.098
17286721,10715,8,1.23
17286721,10719,9,1.349
17286721,13486,10,1.533
17286721,10725,11,1.659
17286721,10321,12,1.75
17286721,12584,13,1.981
17286721,11466,14,2.197
17286721,13118,15,2.398
17286721,11455,16,2.637
17286721,99378,17,2.792
17286721,11452,18,2.964
17286721,13467,19,3.172
17286721,13116,20,3.335
17286721,11056,21,3.61
17286721,11054,22,3.767
17286721,11429,23,4.039
17286721,11047,24,4.159
17286721,11042,25,4.427
17286721,11416,26,4.534
17286721,11410,27,4.767
17286721,11407,28,4.958
17286721,13306,29,5.053
17286721,11022,30,5.394
17286721,11015,31,5.647
17286721,12893,32,6.088
17286721,91038,33,6.367
17286721,12166,34,6.5
17286721,91043,35,6.615
17286721,11007,36,6.901
17286721,11375,37,7.09
17286721,10997,38,7.29
17286721,10993,39,7.554
17286721,11367,40,7.789
17286721,12508,41,8.185
17286721,10953,42,8.548
17286721,10950,43,8.685
17286721,11323,44,8.915
17286721,10938,45,9.072
17286721,11311,46,9.282
17286721,10926,47,9.498
17286721,10911,48,9.75
17286721,10896,49,9.999
17286721,10889,50,10.114
17286721,10882,51,10.248
17286721,10874,52,10.391
17286721,10871,53,10.497
17286721,11258,54,10.686
17286721,70009,55,10.875
17287359,91038,1,0.0
17287359,12166,2,0.133
17287359,91043,3,0.248
17287359,11007,4,0.534
17287359,11375,5,0.723
17287359,10997,6,0.923
17287359,10993,7,1.187
17287359,11367,8,1.422
17287359,12508,9,1.818
17287359,10953,10,2.181
17287359,10950,11,2.318
17287359,10938,13,2.705
17287359,11311,14,2.915
17287359,10926,15,3.131
17287359,10911,16,3.383
17287359,10896,17,3.632
17287359,10889,18,3.747
17287359,10882,19,3.881
17287359,10874,20,4.024
17287359,10871,21,4.13
17287359,11258,22,4.319
17287359,70009,23,4.508
17286704,11465,1,0.0
17286704,12972,2,0.253
17286704,10720,3,0.522
17286704,12578,4,0.744
17286704,12971,5,0.863
17286704,12577,6,0.995
17286704,12970,7,1.17
17286704,10712,8,1.351
17286704,10715,9,1.483
17286704,10719,10,1.602
17286704,13486,11,1.787
17286704,10725,12,1.912
17286704,10321,13,2.004
17286704,12584,14,2.234
17286704,11466,15,2.45
17286704,13118,16,2.651
17286704,11455,17,2.89
17286704,99378,18,3.045
17286704,11452,19,3.217
17286704,13467,20,3.426
17286704,13116,21,3.588
17286704,11056,22,3.863
17286704,11054,23,4.02
17286704,11429,24,4.293
17286704,11047,25,4.413
17286704,11042,26,4.68
17286704,11416,27,4.787
17286704,11410,28,5.02
17286704,11407,29,5.212
17286704,11022,31,5.647
17286704,11015,32,5.9
17286704,12893,33,6.341
17286704,91038,34,6.62
17286704,12166,35,6.754
17286704,91043,36,6.868
17286704,11007,37,7.154
17286704,11375,38,7.343
17286704,10997,39,7.543
17286704,10993,40,7.807
17286704,11367,41,8.042
17286704,12508,42,8.438
17286704,10953,43,8.801
17286704,10950,44,8.938
17286704,11323,45,9.168
17286704,10938,46,9.325
17286704,11311,47,9.535
17286704,10926,48,9.751
17286704,10911,49,10.003
17286704,10896,50,10.252
17286704,10889,51,10.367
17286704,10882,52,10.501
17286704,10874,53,10.644
17286704,10871,54,10.75
17286704,11258,55,10.939
17286704,70009,56,11.129
17403255,11656,1,0.0
17403255,12048,2,0.172
17403255,10108,3,0.399
17403255,10488,4,0.545
17403255,10116,5,0.655
17403255,10118,6,0.815
17403255,10503,7,1.0
17403255,10133,8,1.191
17403255,10524,9,1.34
17403255,10530,10,1.462
17403255,10537,11,1.589
17403255,10158,12,1.771
17403255,10171,13,1.94
17403255,10179,14,2.065
17403255,10184,15,2.239
17403255,10571,16,2.605
17403255,10576,17,2.753
17403255,10578,18,2.856
17403255,10587,19,3.049
17403255,10221,20,3.213
17403255,10225,21,3.375
17403255,10619,22,3.683
17403255,10625,23,3.959
17403255,91041,24,4.401
17403254,91041,1,0.0
17403254,10998,2,0.56
17403254,11368,3,0.82
17403254,10983,4,1.088
17403254,10977,5,1.296
17403254,10963,6,1.51
17403254,11338,7,1.684
17403254,10951,8,1.905
17403254,11317,9,2.283
17403254,10935,10,2.445
17403254,11304,11,2.563
17403254,10914,13,2.907
17403254,10903,14,3.035
17403254,10897,15,3.166
17403254,11275,16,3.328
17403254,11264,17,3.529
17403254,11263,18,3.638
17403254,10866,19,3.817
17403254,11256,20,3.994
17403254,10858,21,4.104
17403254,12781,22,4.308
17403254,12782,23,4.47
17403254,11656,24,4.751
17286193,94050,1,0.0
17286193,13392,2,0.578
17286193,10479,3,0.776
17286193,10100,4,0.881
17286193,13036,5,1.073
17286193,10485,6,1.198
17286193,13037,7,1.454
17286193,10500,8,1.598
17286193,10505,9,1.759
17286193,11687,10,2.454
17286193,12078,11,2.957
17286193,11688,12,3.17
17286193,10139,13,3.381
17286193,10533,14,3.552
17286193,10150,15,3.665
17286193,12084,16,3.896
17286193,12082,17,4.05
17286193,11693,18,4.281
17286192,12824,1,0.0
17286192,12819,2,0.252
17286192,12475,3,0.355
17286192,11296,4,0.47
17286192,11290,5,0.604
17286192,13430,6,0.727
17286192,10894,7,0.938
17286192,12469,8,1.081
17286192,12814,9,1.336
17286192,12813,10,1.814
17286192,11276,11,2.134
17286192,10879,12,2.328
17286192,99380,13,2.523
17286192,13102,14,2.694
17286192,10860,15,2.916
17286192,13001,16,3.133
17286192,11248,17,3.282
17286192,11242,18,3.401
17286192,13393,19,3.565
17286192,94050,20,3.983
17286194,12824,2,0.118
17286194,12819,3,0.37
17286194,12475,4,0.472
17286194,11296,5,0.588
17286194,11290,6,0.722
17286194,13430,7,0.845
17286194,10894,8,1.056
17286194,12469,9,1.199
17286194,12814,10,1.454
17286194,12813,11,1.932
17286194,11276,12,2.251
17286194,10879,13,2.446
17286194,99380,14,2.641
17286194,13102,15,2.812
17286194,10860,16,3.033
17286194,13001,17,3.25
17286194,11248,18,3.4
17286194,11242,19,3.519
17286194,13393,20,3.683
17286194,94050,21,4.101
17286014,99343,1,0.0
17286014,12786,2,0.157
17286014,13147,3,0.356
17286014,12793,4,0.755
17286014,12798,5,0.989
17286014,12457,6,1.286
17286014,12458,7,1.497
17286014,12797,8,1.932
17286014,12795,9,2.177
17286014,12456,10,2.444
17286014,10130,11,2.666
17286014,10136,12,2.814
17286014,10523,13,2.913
17286014,10534,14,3.155
17286014,10161,15,3.394
17286014,10547,16,3.53
17286014,10550,17,3.661
17286014,10560,18,3.886
17286014,60664,19,4.079
17286014,10572,20,4.223
17286014,60665,21,4.339
17286014,10208,22,4.484
17286014,13523,23,4.681
17286014,10599,24,4.87
17286014,60666,25,5.013
17286014,10611,26,5.171
17286014,10616,27,5.274
17286014,10621,28,5.406
17286014,10238,29,5.558
17286014,10242,30,5.751
17286014,10633,31,5.968
17286014,10252,32,6.13
17286014,13194,33,6.286
17286014,96024,34,6.425
17286014,10661,35,6.843
17286014,99093,36,6.995
17286014,13017,37,7.111
17286014,99090,38,7.336
17286072,12012,2,0.27
17286072,10094,3,0.554
17286072,10099,4,0.707
17286072,13315,5,0.873
17286072,99343,6,1.04
17286072,12786,7,1.198
17286072,13147,8,1.396
17286072,12793,9,1.795
17286072,12798,10,2.029
17286072,12457,11,2.326
17286072,12458,12,2.537
17286072,12797,13,2.972
17286072,12795,14,3.217
17286072,12456,15,3.484
17286072,10130,16,3.706
17286072,10136,17,3.855
17286072,10523,18,3.953
17286072,10534,19,4.195
17286072,10161,20,4.434
17286072,10547,21,4.571
17286072,10550,22,4.701
17286072,10560,23,4.926
17286072,60664,24,5.119
17286072,10572,25,5.263
17286072,60665,26,5.38
17286072,10208,27,5.524
17286072,13523,28,5.721
17286072,10599,29,5.91
17286072,60666,30,6.053
17286072,10611,31,6.211
17286072,10616,32,6.314
17286072,10621,33,6.446
17286072,10238,34,6.598
17286072,10242,35,6.792
17286072,10633,36,7.008
17286072,10252,37,7.17
17286072,13194,38,7.326
17286072,96024,39,7.465
17286072,10661,40,7.884
17286072,99093,41,8.035
17286072,13017,42,8.152
17286072,99090,43,8.377
17287355,12186,34,6.422
17286011,13524,1,0.0
17286011,60648,2,0.114
17286011,11336,3,0.259
17286011,11331,4,0.403
17286011,13501,5,0.559
17286011,10943,6,0.688
17286011,11315,7,0.918
17286011,10934,8,1.029
17286011,11298,9,1.281
17286011,10909,10,1.496
17286011,10899,11,1.704
17286011,10885,13,1.955
17286011,12066,14,2.225
17286011,12062,15,2.521
17286011,11666,16,2.771
17286011,12068,17,3.18
17286011,12067,18,3.37
17286011,12064,19,3.766
17286011,12060,20,3.948
17286011,13137,21,4.33
17286011,12053,22,4.484
17286011,91107,23,4.641
17286011,13311,24,4.867
17286011,13312,25,5.025
17286011,10840,26,5.236
17286021,99090,1,0.0
17286021,11413,2,0.302
17286021,13112,3,0.519
17286021,11403,4,0.701
17286021,11398,5,0.835
17286021,11021,6,1.053
17286021,11017,7,1.23
17286021,11014,8,1.343
17286021,11380,9,1.607
17286021,11005,10,1.732
17286021,10999,11,1.923
17286021,10994,12,2.11
17286021,10992,13,2.227
17286021,10989,14,2.346
17286021,10970,15,2.536
17286021,10978,16,2.64
17286021,13524,17,2.84
17286021,60648,18,2.955
17286021,11336,19,3.099
17286021,11331,20,3.243
17286021,13501,21,3.4
17286021,10943,22,3.529
17286021,11315,23,3.759
17286021,10934,24,3.869
17286021,11298,25,4.121
17286021,10909,26,4.336
17286021,10899,27,4.544
17286021,10892,28,4.665
17286021,10885,29,4.796
17286021,12066,30,5.066
17286021,12062,31,5.361
17286021,11666,32,5.612
17286021,12068,33,6.02
17286021,12067,34,6.211
17286021,12064,35,6.606
17286021,12060,36,6.789
17286021,13137,37,7.171
17286021,12053,38,7.324
17286021,91107,39,7.481
17286021,13311,40,7.707
17286021,13312,41,7.866
17286021,10840,42,8.077
17287092,10357,1,0.0
17287092,10360,2,0.108
17287092,10012,3,0.413
17287092,10370,4,0.779
17287092,89010,5,1.437
17287092,10386,6,1.688
17287092,10390,7,1.862
17287092,10036,8,1.996
17287092,10396,9,2.256
17287092,89001,10,2.735
17287070,94019,1,0.0
17287070,11575,2,0.524
17287070,13344,3,0.888
17287070,13345,4,1.116
17287070,13346,5,1.359
17287070,11131,6,3.114
17287070,11121,7,3.775
17287070,10763,8,3.986
17287070,12614,9,4.174
17287070,12612,10,4.318
17287070,12609,11,4.484
17287070,12280,12,4.591
17287070,12282,13,4.74
17287070,12279,14,4.904
17287070,12604,15,5.082
17287070,12605,16,5.29
17287070,12602,17,5.552
17287070,10357,18,5.732
17287070,10360,19,5.84
17287070,10012,20,6.146
17287070,10370,21,6.512
17287070,89010,22,7.17
17287070,10386,23,7.42
17287070,10390,24,7.595
17287070,10036,25,7.729
17287070,10396,26,7.989
17287070,89001,27,8.467
17287076,11837,2,0.208
17287076,11511,3,0.379
17287076,11512,4,0.647
17287076,11516,5,0.816
17287076,11845,6,0.988
17287076,11844,7,1.139
17287076,11843,8,1.28
17287076,11846,9,1.422
17287076,11849,10,1.566
17287076,10359,11,1.752
17287076,10361,12,1.994
17287076,10372,13,2.654
17287076,10038,14,3.838
17287076,13339,15,4.019
17287076,13340,16,4.202
17287076,13341,17,4.398
17287076,13342,18,4.643
17287076,94019,19,5.326
17287058,89001,1,0.0
17287058,10790,2,0.66
17287058,11156,3,0.862
17287058,11152,4,1.04
17287058,11136,6,1.8
17287058,11129,7,2.13
17287058,11123,8,2.565
17287058,11119,9,2.78
17287058,10762,10,2.867
17287058,11837,11,3.075
17287058,11511,12,3.246
17287058,11512,13,3.514
17287058,11845,15,3.855
17287058,11844,16,4.006
17287058,11843,17,4.147
17287058,11846,18,4.289
17287058,11849,19,4.433
17287058,10359,20,4.62
17287058,10361,21,4.861
17287058,10372,22,5.521
17287058,10038,23,6.705
17287058,13339,24,6.886
17287058,13340,25,7.07
17287058,13341,26,7.265
17287058,13342,27,7.51
17287058,94019,28,8.193
17286556,94020,1,0.0
17286556,11575,2,0.536
17286556,13344,3,0.9
17286556,13345,4,1.128
17286556,13346,5,1.371
17286556,12650,6,2.841
17286556,12647,7,3.347
17286556,12646,8,3.688
17286556,12324,9,3.865
17286556,12325,10,4.006
17286556,12323,11,4.146
17286556,12645,12,4.318
17286556,13151,13,4.404
17286556,12642,14,4.567
17286556,12641,15,4.676
17286556,12990,16,4.795
17286556,12313,17,4.92
17286556,12638,18,5.106
17286556,89005,19,5.406
17291824,13059,6,3.355
17286597,12650,7,3.929
17286597,12647,8,4.435
17286597,12646,9,4.776
17286597,12324,10,4.953
17286597,12325,11,5.094
17286597,12323,12,5.235
17286597,12645,13,5.406
17286597,13151,14,5.492
17286597,12642,15,5.656
17286597,12641,16,5.764
17286597,12990,17,5.883
17286597,12313,18,6.008
17286597,12638,19,6.194
17286597,89005,20,6.495
17286555,89005,1,0.0
17286555,11881,2,0.182
17286555,11543,3,0.277
17286555,11886,4,0.451
17286555,11889,5,0.589
17286555,11547,6,0.683
17286555,13119,7,0.818
17286555,11549,8,0.928
17286555,11550,9,1.079
17286555,11551,11,1.361
17286555,11552,12,1.56
17286555,11894,13,1.936
17286555,11896,14,2.445
17286555,10038,15,3.581
17286555,13339,16,3.761
17286555,13340,17,3.945
17286555,13341,18,4.141
17286555,13342,19,4.386
17286555,94020,20,5.057
17291827,13059,1,0.0
17291827,11896,2,0.581
17291827,10038,3,1.717
17291827,13339,4,1.897
17291827,13340,5,2.081
17291827,13341,6,2.277
17291827,13342,7,2.522
17291827,94020,8,3.193
17289863,13059,14,2.952
17289863,11896,15,3.533
17289863,13339,17,4.85
17289863,13340,18,5.034
17289863,13341,19,5.229
17289863,13342,20,5.474
17289863,94020,21,6.145
17287795,89009,1,0.0
17287795,11589,2,0.573
17287795,11957,3,0.938
17287795,13351,4,1.545
17287795,13353,5,1.782
17287795,10452,6,2.63
17287795,10456,7,2.74
17287795,10088,8,2.856
17287795,10098,9,3.271
17287795,10106,10,3.569
17287795,10111,11,3.675
17287795,13354,12,4.085
17287795,10523,13,4.559
17287795,10161,14,5.039
17287795,10550,15,5.307
17287795,60664,16,5.725
17287795,13523,17,6.327
17287795,10611,18,6.817
17287795,10238,19,7.204
17287795,10252,20,7.776
17287795,96024,21,8.071
17287795,13017,22,8.757
17287795,88938,23,8.897
17290207,99481,17,6.289
17290207,13524,18,6.801
17287793,88938,1,0.0
17287793,11413,2,0.387
17287793,11021,3,1.138
17287793,11014,4,1.429
17287793,10999,5,2.009
17287793,10989,6,2.432
17287793,13524,7,2.926
17287793,13501,8,3.485
17287793,10934,9,3.954
17287793,11298,10,4.206
17287793,10892,11,4.751
17287793,11254,13,5.561
17287793,10852,14,5.701
17287793,11245,15,5.922
17287793,11243,16,6.102
17287793,10838,17,6.378
17287793,10834,18,6.526
17287793,11221,19,6.71
17287793,13356,20,7.449
17287793,99373,21,7.649
17287793,12377,22,7.761
17287793,12366,23,8.293
17287793,12691,24,8.653
17287793,89009,25,9.181
17290208,13524,1,0.0
17290208,13501,2,0.559
17290208,10934,3,1.029
17290208,11298,4,1.281
17290208,10892,5,1.825
17290208,13355,6,2.248
17290208,11254,7,2.635
17290208,10852,8,2.775
17290208,11245,9,2.996
17290208,11243,10,3.177
17290208,10838,11,3.452
17290208,10834,12,3.6
17290208,11221,13,3.784
17290208,13356,14,4.523
17290208,99373,15,4.723
17290208,12377,16,4.835
17290208,12366,17,5.367
17290208,12691,18,5.727
17290208,89009,19,6.255
17286339,99118,1,0.0
17286339,60546,2,0.065
17286339,12411,3,0.256
17286339,12753,4,0.578
17286339,12415,5,0.691
17286339,12756,6,0.863
17286339,12757,7,1.079
17286339,12417,8,1.199
17286339,12416,9,1.417
17286339,12412,10,1.56
17286339,12414,11,1.705
17286339,12758,12,1.804
17286339,12759,13,1.909
17286339,12418,14,2.163
17286339,10092,15,2.293
17286339,10098,16,2.43
17286339,13391,17,2.608
17286339,10106,18,2.729
17286339,10111,19,2.834
17286339,10114,20,2.97
17286339,10494,21,3.11
17286339,12804,22,3.297
17286339,12453,23,3.512
17286339,12454,24,3.639
17286339,12800,25,3.768
17286339,12801,26,3.893
17286339,12455,27,3.984
17286339,12802,28,4.145
17286339,10507,29,4.392
17286339,10518,30,4.612
17286339,10140,31,4.735
17286339,10540,32,4.975
17286339,10160,33,5.162
17286339,10169,34,5.278
17286339,10549,35,5.385
17286339,10554,36,5.496
17286339,10188,37,5.596
17286339,10564,38,5.757
17286339,10198,39,5.921
17286339,10577,40,6.129
17286339,10581,41,6.303
17286339,10594,42,6.528
17286339,10224,43,6.684
17286339,12872,44,7.589
17286339,10634,45,8.607
17286339,10258,46,8.945
17286339,10654,47,9.172
17286339,13158,48,9.424
17286339,99094,49,9.668
17286403,10634,42,9.285
17286403,10258,43,9.624
17286403,10654,44,9.851
17286403,13158,45,10.103
17286403,99094,46,10.347
17286308,11342,1,0.0
17286308,11335,2,0.186
17286308,11327,3,0.37
17286308,10947,4,0.469
17286308,10939,5,0.668
17286308,10937,6,0.79
17286308,10933,7,0.883
17286308,11297,8,1.133
17286308,11291,9,1.271
17286308,10900,10,1.502
17286308,11271,11,1.697
17286308,11266,12,1.921
17286308,11673,13,2.143
17286308,11672,14,2.274
17286308,12065,15,2.436
17286308,11671,16,2.647
17286308,11670,17,2.734
17286308,11675,18,3.009
17286308,10865,19,3.194
17286308,11254,21,3.455
17286308,10852,22,3.594
17286308,10847,23,3.706
17286308,11245,24,3.815
17286308,11240,25,3.927
17286308,12018,26,4.146
17286308,11637,27,4.378
17286308,12017,28,4.541
17286308,12013,29,4.654
17286308,12015,30,4.789
17286308,12016,31,5.09
17286308,12014,32,5.234
17286308,11636,33,5.352
17286308,12019,34,5.55
17286308,11641,35,5.693
17286308,12020,36,5.791
17286308,11640,37,5.982
17286308,11639,38,6.046
17286308,12012,39,6.323
17286308,99039,40,6.448
17286308,96010,41,6.596
17286308,99118,42,6.957
17286340,99094,1,0.0
17286340,11031,2,0.244
17286340,11395,3,0.578
17286340,11390,4,0.769
17286340,11009,5,1.139
17286340,11354,6,3.158
17286340,10973,7,3.315
17286340,11342,8,3.551
17286340,11335,9,3.737
17286340,11327,10,3.921
17286340,10947,11,4.02
17286340,10939,12,4.219
17286340,10937,13,4.341
